celebrity_name,season,week,twitter_mentions,instagram_engagement,facebook_shares,youtube_views,sentiment_score,google_search_volume
Joey Lawrence,3,5,1545,15294,648,20732,0.639,67.1
Joey Lawrence,3,6,1747,38246,724,190362,0.357,93.1
Joey Lawrence,3,7,1830,13486,777,3209548,0.492,94.8
Joey Lawrence,3,8,2023,40119,789,32430,0.262,109.8
Joey Lawrence,3,9,2138,19416,833,1410041,0.699,70.7
Mario Lopez,3,1,1262,2290,509,130247,0.247,35.8
Mario Lopez,3,2,1298,2461,522,1280478,-0.331,44.5
Mario Lopez,3,3,1489,2214,563,63641,0.032,47.7
Mario Lopez,3,4,1619,1263,622,882993,0.025,35.8
Mario Lopez,3,5,1745,1587,689,1479795,0.14,36.0
Mario Lopez,3,6,1853,3701,753,1234604,0.849,49.6
Mario Lopez,3,7,1955,2789,785,676417,0.196,50.4
Mario Lopez,3,8,2063,2202,824,3064547,0.622,45.3
Mario Lopez,3,9,2194,1909,857,539690,0.512,64.0
Mario Lopez,3,10,2206,4634,896,774860,0.563,60.6
Emmitt Smith,3,1,1295,10730,522,801076,0.722,55.3
Emmitt Smith,3,2,1388,11937,542,899416,0.343,38.7
Emmitt Smith,3,3,1576,16570,611,384858,0.257,63.6
Emmitt Smith,3,4,1673,8690,655,608331,0.341,65.0
Emmitt Smith,3,5,1729,14627,786,676507,0.463,78.2
Emmitt Smith,3,6,1949,6715,769,1006798,0.302,51.4
Emmitt Smith,3,7,2036,8719,820,320146,0.185,62.0
Emmitt Smith,3,8,2106,5935,872,294093,0.362,81.2
Emmitt Smith,3,9,2310,12251,965,630340,0.817,74.8
Emmitt Smith,3,10,2344,17206,987,1621560,0.635,58.3
Shanna Moakler,3,1,830,13909,320,249014,0.32,16.0
Shanna Moakler,3,2,907,19734,369,1202805,0.293,13.1
Willa Ford,3,1,980,237088,364,57867,-0.036,38.6
Willa Ford,3,2,1017,229096,454,470088,0.468,46.8
Willa Ford,3,3,1169,281195,501,186591,-0.021,38.3
Willa Ford,3,4,1237,288807,462,251928,0.315,32.5
Willa Ford,3,5,1324,315641,520,1281870,0.463,55.0
Sara Evans,3,1,1046,3494,450,1883355,0.495,40.6
Sara Evans,3,2,1142,2426,470,314059,0.002,46.1
Sara Evans,3,3,1254,3405,524,313177,0.326,67.4
Sara Evans,3,4,1422,1312,508,94294,0.343,69.6
Sara Evans,3,5,1400,4066,549,91703,0.22,72.5
Jerry Springer,3,1,1132,94610,446,69440,-0.07,41.5
Jerry Springer,3,2,1203,84938,445,210136,0.043,50.0
Jerry Springer,3,3,1270,83849,517,264707,0.159,70.5
Jerry Springer,3,4,1393,47269,560,2665385,0.38,49.6
Jerry Springer,3,5,1471,175777,569,205817,0.275,74.5
Jerry Springer,3,6,1604,50161,665,102257,0.332,74.1
Jerry Springer,3,7,1678,86543,654,158816,0.487,52.6
Tucker Carlson,3,1,771,204732,312,525727,-0.095,28.5
John Ratzenberger,4,1,1028,5548,418,158548,0.081,88.8
John Ratzenberger,4,2,1173,10130,451,405662,0.482,95.2
John Ratzenberger,4,3,1284,7114,511,1082925,0.14,105.0
John Ratzenberger,4,4,1320,8167,517,182949,0.209,96.7
John Ratzenberger,4,5,1413,9197,529,2518449,0.429,101.3
John Ratzenberger,4,6,1512,11509,608,623157,-0.008,92.7
John Ratzenberger,4,7,1585,18578,677,178898,0.172,120.2
Ian Ziering,4,1,1157,521349,483,287976,0.044,14.6
Ian Ziering,4,2,1233,1016500,498,853932,0.135,17.9
Ian Ziering,4,3,1320,794979,557,270711,-0.31,24.6
Ian Ziering,4,4,1407,1638617,538,291306,0.703,21.8
Ian Ziering,4,5,1525,656872,628,448024,0.021,32.3
Ian Ziering,4,6,1702,1139916,693,425791,0.296,24.9
Ian Ziering,4,7,1834,1599308,731,1591873,0.107,25.4
Ian Ziering,4,8,1833,2077173,740,222078,0.019,25.5
Ian Ziering,4,9,1975,1906501,799,651969,0.442,33.1
Clyde Drexler,4,1,988,10139,397,383078,0.065,50.0
Clyde Drexler,4,2,1014,15289,406,275382,0.511,38.4
Clyde Drexler,4,3,1075,11993,449,485380,0.093,57.8
Clyde Drexler,4,4,1182,13980,466,572883,-0.167,40.6
Clyde Drexler,4,5,1339,6529,499,625788,-0.356,60.1
Laila Ali,4,1,1245,24916,497,296613,0.22,22.5
Laila Ali,4,2,1301,10491,576,452771,0.495,23.6
Laila Ali,4,3,1442,27029,581,721180,0.305,18.3
Laila Ali,4,4,1474,25395,643,1336002,0.753,17.1
Laila Ali,4,5,1663,15760,667,507832,0.571,21.3
Laila Ali,4,6,1715,32289,715,449271,0.693,24.1
Laila Ali,4,7,1865,43555,798,866241,0.671,36.5
Laila Ali,4,8,1945,23421,822,95529,0.614,27.3
Laila Ali,4,9,2109,38333,871,41978,0.82,22.7
Laila Ali,4,10,2207,39611,901,151497,0.667,25.3
Apolo Anton Ohno,4,1,1313,231882,543,1393416,0.086,26.3
Apolo Anton Ohno,4,2,1455,131709,590,103363,0.547,21.6
Apolo Anton Ohno,4,3,1542,260515,625,2979214,0.36,27.4
Apolo Anton Ohno,4,4,1695,282825,678,103759,0.564,28.3
Apolo Anton Ohno,4,5,1729,280245,672,166527,0.776,40.4
Apolo Anton Ohno,4,6,1918,433510,758,96333,0.337,39.6
Apolo Anton Ohno,4,7,2022,426305,835,1066762,0.619,30.8
Apolo Anton Ohno,4,8,2104,750430,842,646516,0.483,41.3
Apolo Anton Ohno,4,9,2392,697166,916,1531089,0.225,53.2
Apolo Anton Ohno,4,10,2460,352425,931,1178326,0.679,41.1
Shandi Finnessey,4,1,825,287158,330,167942,0.466,31.3
Shandi Finnessey,4,2,889,596659,375,160140,-0.02,33.2
Shandi Finnessey,4,3,959,383302,365,96692,0.638,27.1
Paulina Porizkova,4,1,769,2349,331,820971,-0.218,103.4
Paulina Porizkova,4,2,825,1419,324,155038,0.367,108.4
Heather Mills,4,1,1056,11129,394,3647529,0.005,21.3
Heather Mills,4,2,1145,16994,430,278204,0.533,23.0
Heather Mills,4,3,1162,15709,517,438749,0.695,16.7
Heather Mills,4,4,1290,16126,492,103433,0.66,17.1
Heather Mills,4,5,1376,11963,534,3335236,0.652,22.4
Heather Mills,4,6,1392,9312,583,1052262,0.281,25.9
Billy Ray Cyrus,4,1,1128,306766,462,208360,-0.235,5.3
Billy Ray Cyrus,4,2,1176,94500,441,209973,0.101,7.8
Billy Ray Cyrus,4,3,1306,213783,514,1391437,0.447,8.1
Billy Ray Cyrus,4,4,1426,388591,583,582083,0.157,9.9
Billy Ray Cyrus,4,5,1520,413666,596,1038292,0.072,6.1
Billy Ray Cyrus,4,6,1600,388209,646,376342,0.227,7.9
Billy Ray Cyrus,4,7,1704,432504,646,1324715,0.645,8.0
Billy Ray Cyrus,4,8,1864,285640,759,492275,0.503,7.7
Joey Fatone,4,1,1330,30644,497,408094,0.171,43.0
Joey Fatone,4,2,1362,32307,566,439222,0.533,40.8
Joey Fatone,4,3,1458,12741,607,1361208,0.211,40.8
Joey Fatone,4,4,1578,40476,611,3792999,0.535,53.1
Joey Fatone,4,5,1766,24645,673,204960,0.177,53.3
Joey Fatone,4,6,1860,43946,723,392715,0.487,41.8
Joey Fatone,4,7,1945,46784,736,1284414,0.874,71.3
Joey Fatone,4,8,2057,39698,832,1251423,0.518,78.6
Joey Fatone,4,9,2247,63288,829,2386800,0.597,66.9
Joey Fatone,4,10,2336,30563,941,205163,0.383,63.7
Leeza Gibbons,4,1,898,25509,323,1221268,-0.254,33.1
Leeza Gibbons,4,2,932,29737,380,168593,0.018,37.7
Leeza Gibbons,4,3,1059,26277,429,593983,0.115,44.3
Leeza Gibbons,4,4,1101,36804,450,530150,0.22,45.1
Cameron Mathison,5,1,1053,28055,420,609334,0.331,24.6
Cameron Mathison,5,2,1242,21591,504,210203,0.064,33.9
Cameron Mathison,5,3,1303,30825,525,957167,0.108,34.6
Cameron Mathison,5,4,1450,10189,546,855806,0.032,48.5
Cameron Mathison,5,5,1563,25156,603,225894,0.727,29.6
Cameron Mathison,5,6,1599,34416,624,219287,0.297,42.5
Cameron Mathison,5,7,1666,19073,681,1768749,0.576,36.5
Cameron Mathison,5,8,1796,35350,701,1313485,0.427,52.2
Jane Seymour,5,1,1053,134020,436,270409,0.594,51.9
Jane Seymour,5,2,1175,117937,443,1057768,0.051,39.4
Jane Seymour,5,3,1197,70504,486,152869,0.716,45.5
Jane Seymour,5,4,1325,63804,509,217319,0.16,67.5
Jane Seymour,5,5,1443,144936,569,476341,0.619,54.0
Jane Seymour,5,6,1516,185045,642,1131212,-0.022,74.6
Jane Seymour,5,7,1676,54746,620,537667,-0.056,48.3
Sabrina Bryan,5,1,976,5419,394,562755,0.422,49.3
Sabrina Bryan,5,2,1081,5367,470,147191,0.425,69.5
Sabrina Bryan,5,3,1148,5734,470,959354,0.776,57.2
Sabrina Bryan,5,4,1257,6069,497,755566,0.631,83.9
Sabrina Bryan,5,5,1284,9227,592,364850,0.638,98.5
Sabrina Bryan,5,6,1431,7779,596,134291,0.474,78.7
Jennie Garth,5,1,1140,112628,431,363762,0.137,12.4
Jennie Garth,5,2,1285,180141,528,2822413,0.249,11.2
Jennie Garth,5,3,1405,204211,548,1409066,0.135,14.3
Jennie Garth,5,4,1470,157952,552,415869,0.375,11.2
Jennie Garth,5,5,1601,88400,608,163539,0.431,10.3
Jennie Garth,5,6,1766,126152,665,575802,0.774,11.0
Jennie Garth,5,7,1815,155491,704,172680,0.312,14.1
Jennie Garth,5,8,1843,272537,779,143763,0.394,18.2
Jennie Garth,5,9,2021,360458,833,729141,0.606,13.7
Floyd Mayweather Jr. ,5,1,875,1210,366,741826,-0.219,19.2
Floyd Mayweather Jr. ,5,2,888,897,395,90105,0.432,14.0
Floyd Mayweather Jr. ,5,3,1103,1525,416,245639,0.049,20.5
Floyd Mayweather Jr. ,5,4,1149,1966,428,222386,0.187,16.6
Josie Maran,5,1,716,37469,269,297855,0.3,57.5
Albert Reed,5,1,750,1094,321,510803,0.046,17.8
Albert Reed,5,2,836,1347,315,500067,0.262,12.2
Helio Castroneves,5,1,1321,6232,552,73522,0.319,9.5
Helio Castroneves,5,2,1427,10506,572,367843,0.71,12.2
Helio Castroneves,5,3,1527,7573,649,1021858,0.175,15.2
Helio Castroneves,5,4,1662,3166,668,144514,0.527,16.9
Helio Castroneves,5,5,1769,8220,720,270979,0.213,16.8
Helio Castroneves,5,6,1957,11282,788,356709,0.414,12.2
Helio Castroneves,5,7,1984,9189,841,3314944,0.621,11.9
Helio Castroneves,5,8,2134,4152,880,1938665,0.67,15.7
Helio Castroneves,5,9,2258,10555,937,299989,0.438,24.4
Helio Castroneves,5,10,2353,16946,932,1353284,0.388,17.8
Mel B,5,1,1227,321528,504,87723,0.625,47.4
Mel B,5,2,1401,272502,571,454141,0.024,39.2
Mel B,5,3,1466,117416,580,1034022,0.506,65.3
Mel B,5,4,1600,405968,620,995589,0.817,75.9
Mel B,5,5,1755,513345,692,329757,0.701,80.8
Mel B,5,6,1852,289503,724,1340514,0.827,60.2
Mel B,5,7,1954,356661,785,239497,0.828,97.3
Mel B,5,8,2008,571034,805,949048,0.579,107.8
Mel B,5,9,2156,221095,866,2381002,0.249,87.8
Mel B,5,10,2320,201787,926,328579,0.526,95.6
Wayne Newton,5,1,811,35489,331,492675,0.352,37.6
Wayne Newton,5,2,894,40738,340,52324,0.025,48.3
Wayne Newton,5,3,984,13887,383,38728,0.419,66.1
Marie Osmond,5,1,1196,1808,495,233512,0.341,34.7
Marie Osmond,5,2,1344,5820,543,575981,0.252,47.9
Marie Osmond,5,3,1471,1962,563,1055870,0.463,43.7
Marie Osmond,5,4,1585,2975,655,184431,0.879,63.8
Marie Osmond,5,5,1595,2305,655,710461,0.437,57.7
Marie Osmond,5,6,1764,5274,743,459900,0.256,40.2
Marie Osmond,5,7,1845,5803,762,171992,0.634,52.0
Marie Osmond,5,8,1958,6439,787,230240,0.695,55.0
Marie Osmond,5,9,2040,8651,859,1097825,0.231,71.3
Marie Osmond,5,10,2198,6988,885,963992,0.227,56.0
Mark Cuban,5,1,1011,20544,354,73877,0.5,46.7
Mark Cuban,5,2,1002,34740,411,269780,0.384,42.8
Mark Cuban,5,3,1102,14317,488,204557,-0.053,46.6
Mark Cuban,5,4,1154,27271,504,1358926,0.417,64.7
Mark Cuban,5,5,1325,45496,499,286922,0.192,51.1
Cristian de la Fuente,6,1,1173,77086,458,532062,0.394,61.5
Cristian de la Fuente,6,2,1369,67172,517,726567,-0.149,45.9
Cristian de la Fuente,6,3,1496,40926,576,122561,0.519,45.8
Cristian de la Fuente,6,4,1579,97673,610,33711,0.204,82.7
Cristian de la Fuente,6,5,1653,50036,638,2000106,0.543,87.5
Cristian de la Fuente,6,6,1760,114566,730,242295,0.349,78.1
Cristian de la Fuente,6,7,1881,94830,748,2741532,0.476,81.7
Cristian de la Fuente,6,8,2015,56299,760,865824,0.602,84.6
Cristian de la Fuente,6,9,2102,61562,822,328266,0.351,96.8
Cristian de la Fuente,6,10,2175,67247,879,322244,0.484,116.9
Steve Guttenberg,6,1,866,28253,349,369180,0.339,28.1
Steve Guttenberg,6,2,911,28279,368,180527,0.051,27.1
Steve Guttenberg,6,3,1031,78752,407,1004367,0.252,27.9
Priscilla Presley,6,1,979,21285,369,415578,0.318,65.1
Priscilla Presley,6,2,1025,30567,402,266558,0.038,53.5
Priscilla Presley,6,3,1105,34941,416,178405,0.326,47.0
Priscilla Presley,6,4,1218,42387,491,37371,0.157,63.7
Priscilla Presley,6,5,1289,55940,540,584589,0.049,64.9
Marlee Matlin,6,1,1010,3167,380,189420,0.101,2.4
Marlee Matlin,6,2,1043,7248,409,440279,0.372,2.6
Marlee Matlin,6,3,1123,8676,487,588356,-0.144,2.4
Marlee Matlin,6,4,1279,9786,488,2506910,0.44,4.0
Marlee Matlin,6,5,1314,6831,528,1819132,0.255,3.8
Marlee Matlin,6,6,1472,10033,560,412814,-0.057,3.4
Shannon Elizabeth,6,1,1008,6873,402,658411,0.211,18.6
Shannon Elizabeth,6,2,1148,6867,420,1171253,0.605,36.6
Shannon Elizabeth,6,3,1272,4959,487,46033,0.178,30.0
Shannon Elizabeth,6,4,1394,6354,557,63031,0.224,31.1
Shannon Elizabeth,6,5,1493,3146,535,589534,0.158,28.2
Shannon Elizabeth,6,6,1522,4931,621,323489,0.334,46.5
Shannon Elizabeth,6,7,1680,3718,663,695090,0.384,36.1
Marissa Jaret Winokur,6,1,1235,32819,464,778730,-0.076,11.3
Marissa Jaret Winokur,6,2,1265,44262,486,389677,-0.076,18.6
Marissa Jaret Winokur,6,3,1388,15711,559,223168,0.318,15.6
Marissa Jaret Winokur,6,4,1453,18424,592,833591,0.416,17.0
Marissa Jaret Winokur,6,5,1574,36671,629,263573,0.424,22.7
Marissa Jaret Winokur,6,6,1672,51258,663,1313431,0.502,25.0
Marissa Jaret Winokur,6,7,1828,45479,722,585320,0.624,21.0
Marissa Jaret Winokur,6,8,1845,59099,780,223466,0.571,27.8
Marissa Jaret Winokur,6,9,2060,25216,839,5290833,0.559,24.7
Jason Taylor,6,1,1186,24113,516,112587,0.274,9.5
Jason Taylor,6,2,1338,40973,524,2534235,0.765,9.5
Jason Taylor,6,3,1531,19390,582,836068,0.498,9.7
Jason Taylor,6,4,1601,19055,640,1573558,0.425,16.9
Jason Taylor,6,5,1703,17130,719,706069,0.345,14.8
Jason Taylor,6,6,1908,25949,736,2206634,0.151,18.5
Jason Taylor,6,7,1924,32330,797,123977,0.446,15.7
Jason Taylor,6,8,2071,61509,875,225144,0.062,16.5
Jason Taylor,6,9,2229,44966,909,1065270,0.361,18.3
Jason Taylor,6,10,2271,42897,907,2109135,0.69,16.9
Kristi Yamaguchi,6,1,1333,6088,499,478866,0.227,63.8
Kristi Yamaguchi,6,2,1417,4245,563,102470,0.038,66.5
Kristi Yamaguchi,6,3,1585,5645,628,3752529,0.323,71.2
Kristi Yamaguchi,6,4,1694,14342,688,1196181,0.635,73.8
Kristi Yamaguchi,6,5,1789,13115,670,666226,0.442,78.8
Kristi Yamaguchi,6,6,1898,13685,766,2660125,0.737,102.3
Kristi Yamaguchi,6,7,2111,20877,852,530036,0.242,87.9
Kristi Yamaguchi,6,8,2170,18615,865,457893,0.662,127.3
Kristi Yamaguchi,6,9,2204,6891,930,1565484,0.517,110.2
Kristi Yamaguchi,6,10,2418,12031,947,557021,0.843,142.8
Monica Seles,6,1,768,99311,299,269894,0.019,26.5
Monica Seles,6,2,865,93197,322,423329,0.367,39.5
Penn Jillette,6,1,672,4360,270,193005,0.2,22.5
Penn Jillette,6,2,792,9763,335,140820,0.162,27.1
Adam Carolla,6,1,871,48437,377,180213,-0.213,9.6
Adam Carolla,6,2,970,54231,393,72731,0.185,12.2
Adam Carolla,6,3,1045,25085,408,316494,0.35,15.0
Adam Carolla,6,4,1146,44203,479,567937,0.196,16.8
Mario,6,1,1138,38369,480,35696,0.692,20.0
Mario,6,2,1197,71082,476,884259,0.237,15.9
Mario,6,3,1358,34082,496,662278,0.305,24.3
Mario,6,4,1362,55218,616,295252,0.692,21.5
Mario,6,5,1495,82758,581,605034,0.446,31.2
Mario,6,6,1627,40370,636,3056990,0.77,28.6
Mario,6,7,1719,73603,663,1205497,0.196,24.9
Mario,6,8,1801,90104,712,160324,0.424,34.0
Ted McGinley,7,1,704,101744,291,445647,0.004,40.3
Cloris Leachman,7,1,963,33253,413,23921,0.326,56.2
Cloris Leachman,7,2,1124,57055,438,133132,0.085,63.7
Cloris Leachman,7,3,1135,52985,482,1945960,-0.107,52.8
Cloris Leachman,7,4,1293,78146,494,206101,0.767,76.5
Cloris Leachman,7,5,1343,49757,558,1030367,0.241,82.3
Cloris Leachman,7,6,1465,53662,565,1317727,-0.104,60.5
Susan Lucci,7,1,1010,1841,409,259736,-0.006,7.0
Susan Lucci,7,2,1119,3005,462,230897,0.304,7.6
Susan Lucci,7,3,1256,3588,507,317334,-0.318,5.0
Susan Lucci,7,4,1418,3257,532,91553,0.388,5.7
Susan Lucci,7,5,1410,2844,604,1487595,0.264,7.8
Susan Lucci,7,6,1570,1668,638,495498,0.185,7.8
Susan Lucci,7,7,1630,2355,650,674933,0.302,9.6
Cody Linley,7,1,1231,31026,462,442009,0.547,58.7
Cody Linley,7,2,1192,70422,489,255567,-0.129,71.4
Cody Linley,7,3,1309,58792,506,625086,0.741,84.3
Cody Linley,7,4,1388,103090,546,1708569,0.004,64.0
Cody Linley,7,5,1499,44197,616,1983041,0.603,95.2
Cody Linley,7,6,1693,82508,666,176093,0.435,114.8
Cody Linley,7,7,1837,47758,714,1504064,0.082,104.2
Cody Linley,7,8,1868,124601,731,3388653,0.007,128.0
Cody Linley,7,9,2051,65820,822,682139,0.281,121.0
Misty May-Treanor,7,1,809,432830,340,130696,0.381,34.6
Misty May-Treanor,7,2,940,517146,371,188255,0.409,51.4
Maurice Greene,7,1,1099,10464,417,2254624,0.36,29.4
Maurice Greene,7,2,1189,5405,491,791622,0.143,45.0
Maurice Greene,7,3,1296,10359,526,107530,0.164,35.2
Maurice Greene,7,4,1299,13085,572,1307655,0.269,45.3
Maurice Greene,7,5,1550,14680,614,1747569,0.975,38.3
Maurice Greene,7,6,1610,4793,696,748719,0.395,47.9
Maurice Greene,7,7,1701,17080,660,691972,0.511,70.3
Maurice Greene,7,8,1788,14485,719,187169,0.403,57.9
Warren Sapp,7,1,1304,3631,521,473597,0.375,3.2
Warren Sapp,7,2,1446,5932,566,186797,0.643,4.7
Warren Sapp,7,3,1395,5236,571,705550,0.224,5.3
Warren Sapp,7,4,1621,3815,661,589716,-0.14,4.9
Warren Sapp,7,5,1696,5731,627,49615,0.564,4.5
Warren Sapp,7,6,1785,11584,722,2610495,0.559,5.2
Warren Sapp,7,7,2024,7256,794,444366,-0.169,5.2
Warren Sapp,7,8,2097,10437,866,2589086,0.322,4.7
Warren Sapp,7,9,2227,6473,887,4557296,0.025,8.1
Warren Sapp,7,10,2388,11841,915,440319,0.257,7.5
Jeffrey Ross,7,1,688,2516,283,80071,-0.358,22.6
Toni Braxton,7,1,940,147899,403,211429,0.705,58.5
Toni Braxton,7,2,1060,89201,414,1093485,0.259,62.2
Toni Braxton,7,3,1175,270653,453,918601,0.182,88.4
Toni Braxton,7,4,1173,115591,456,469401,0.299,91.8
Toni Braxton,7,5,1348,292695,545,2421051,0.453,114.2
Lance Bass,7,1,1154,213625,493,263623,0.165,34.0
Lance Bass,7,2,1272,441575,516,1943941,-0.113,39.9
Lance Bass,7,3,1488,454382,552,169234,0.214,42.2
Lance Bass,7,4,1558,515765,597,230096,0.811,38.8
Lance Bass,7,5,1572,518717,703,2974924,0.111,54.7
Lance Bass,7,6,1730,568980,712,180032,0.574,46.3
Lance Bass,7,7,1873,426023,730,563498,0.418,46.7
Lance Bass,7,8,1935,457816,780,768313,0.63,58.6
Lance Bass,7,9,2158,395980,903,1555333,0.489,47.1
Lance Bass,7,10,2168,595558,875,975920,0.64,47.2
Kim Kardashian,7,1,823,1560,280,86175,-0.056,45.3
Kim Kardashian,7,2,870,2098,327,548862,0.409,41.4
Rocco DiSpirito,7,1,884,251851,328,205219,-0.184,17.9
Rocco DiSpirito,7,2,964,260684,360,13506,0.199,30.4
Rocco DiSpirito,7,3,1109,741145,413,386142,0.314,27.1
Rocco DiSpirito,7,4,1092,1090894,436,172093,0.223,29.0
Brooke Burke,7,1,1300,18758,522,288455,0.155,12.1
Brooke Burke,7,2,1425,21958,547,347367,0.563,7.5
Brooke Burke,7,3,1533,21055,592,582115,0.566,12.3
