season,week,celebrity_name,judge_total,judge_share,fan_vote_share,judge_rank,fan_rank,rank_rule_rank,percent_rule_rank,combined_rank_sum,combined_score,eliminated_this_week,final_placement,regime
2,1,Master P,12.0,0.06153846153846154,0.0247443912484715,10,9,9,9,19,0.08628285278693304,False,7,rank
2,1,Drew Lachey,24.0,0.12307692307692308,0.2727617891635065,1,1,1,1,2,0.3958387122404296,False,1,rank
2,1,Kenny Mayne,13.0,0.06666666666666667,0.0183310958965449,9,10,9,10,19,0.08499776256321157,True,10,rank
2,2,Tatum O'Neal,17.0,0.085,0.0252064531585323,8,9,8,9,17,0.11020645315853231,True,9,rank
2,2,Tia Carrere,22.0,0.11,0.0836883716938095,5,5,5,5,10,0.19368837169380948,False,6,rank
2,2,George Hamilton,22.0,0.11,0.0459291521913246,5,7,6,7,12,0.1559291521913246,False,5,rank
2,2,Lisa Rinna,20.0,0.1,0.0619978706099581,7,6,7,6,13,0.1619978706099581,False,4,rank
2,2,Stacy Keibler,29.0,0.145,0.1524901554373592,1,3,2,3,4,0.2974901554373592,False,3,rank
2,2,Jerry Rice,23.0,0.115,0.112967485622583,4,4,4,4,8,0.227967485622583,False,2,rank
2,2,Giselle Fernandez,24.0,0.12,0.205840179385753,3,2,3,2,5,0.325840179385753,False,8,rank
2,2,Master P,16.0,0.08,0.0340251528037969,9,8,8,8,17,0.11402515280379691,False,7,rank
2,2,Drew Lachey,27.0,0.135,0.2778551790968831,2,1,1,1,3,0.41285517909688313,False,1,rank
2,3,Tia Carrere,26.0,0.14285714285714285,0.1158886268673208,3,4,3,4,7,0.2587457697244636,False,6,rank
2,3,George Hamilton,22.0,0.12087912087912088,0.0636010269157444,5,6,6,6,11,0.18448014779486527,False,5,rank
2,3,Lisa Rinna,25.0,0.13736263736263737,0.0858524063530961,4,5,4,5,9,0.22321504371573347,False,4,rank
2,3,Stacy Keibler,27.0,0.14835164835164835,0.2111628457663858,1,2,2,2,3,0.35951449411803416,False,3,rank
2,3,Jerry Rice,19.0,0.1043956043956044,0.156433283674742,7,3,5,3,10,0.2608288880703464,False,2,rank
2,3,Giselle Fernandez,22.0,0.12087912087912088,0.0349049836388899,5,8,7,7,13,0.15578410451801078,True,8,rank
2,3,Master P,14.0,0.07692307692307693,0.0471167995932518,8,7,8,8,15,0.12403987651632872,False,7,rank
2,3,Drew Lachey,27.0,0.14835164835164835,0.285040027190569,1,1,1,1,2,0.43339167554221736,False,1,rank
2,4,Tia Carrere,25.0,0.15822784810126583,0.1200800179284717,4,4,4,4,8,0.27830786602973756,False,6,rank
2,4,George Hamilton,21.0,0.13291139240506328,0.0659013111015245,6,6,6,6,12,0.19881270350658778,False,5,rank
2,4,Lisa Rinna,26.0,0.16455696202531644,0.0889574652211991,2,5,3,5,7,0.2535144272465155,False,4,rank
2,4,Stacy Keibler,26.0,0.16455696202531644,0.2188000582186976,2,2,2,2,4,0.3833570202440141,False,3,rank
2,4,Jerry Rice,24.0,0.1518987341772152,0.1620910698146319,5,3,4,3,8,0.31398980399184706,False,2,rank
2,4,Master P,8.0,0.05063291139240506,0.0488208920308237,7,7,7,7,14,0.09945380342322876,True,7,rank
2,4,Drew Lachey,28.0,0.17721518987341772,0.2953491856846512,1,1,1,1,2,0.4725643755580689,False,1,rank
2,5,Tia Carrere,22.0,0.1456953642384106,0.0692838084324915,6,6,6,6,12,0.2149791726709021,True,6,rank
2,5,George Hamilton,24.0,0.15894039735099338,0.0935233590350072,4,5,5,5,9,0.2524637563860006,False,5,rank
2,5,Lisa Rinna,25.0,0.16556291390728478,0.1262433299074973,3,4,3,4,7,0.29180624381478204,False,4,rank
2,5,Stacy Keibler,30.0,0.1986754966887417,0.2300303448483522,1,2,1,2,3,0.4287058415370939,False,3,rank
2,5,Jerry Rice,23.0,0.152317880794702,0.1704106707733582,5,3,4,3,8,0.3227285515680602,False,2,rank
2,5,Drew Lachey,27.0,0.17880794701986755,0.3105084870032935,2,1,1,1,3,0.48931643402316105,False,1,rank
2,6,George Hamilton,23.0,0.17293233082706766,0.1004853680234095,4,5,5,5,9,0.2734176988504772,True,5,rank
2,6,Lisa Rinna,27.0,0.20300751879699247,0.1356410590589154,3,4,3,4,7,0.33864857785590785,False,4,rank
2,6,Stacy Keibler,30.0,0.22556390977443608,0.2471541238161292,1,2,2,2,3,0.4727180335905653,False,3,rank
2,6,Jerry Rice,23.0,0.17293233082706766,0.1830962782396138,4,3,3,3,7,0.35602860906668143,False,2,rank
2,6,Drew Lachey,30.0,0.22556390977443608,0.333623170861932,1,1,1,1,2,0.5591870806363681,False,1,rank
2,7,Lisa Rinna,26.5,0.25980392156862747,0.1507936105062107,3,4,3,3,7,0.4105975320748382,True,4,rank
2,7,Stacy Keibler,27.5,0.2696078431372549,0.2747638726821303,1,2,2,2,3,0.5443717158193853,False,3,rank
2,7,Jerry Rice,20.5,0.20098039215686275,0.2035500832679938,4,3,3,4,7,0.40453047542485654,False,2,rank
2,7,Drew Lachey,27.5,0.2696078431372549,0.3708924335436651,1,1,1,1,2,0.64050027668092,False,1,rank
2,8,Stacy Keibler,28.6665,0.33992071896021603,0.3235537038833594,2,2,2,2,4,0.6634744228435754,False,3,rank
2,8,Jerry Rice,26.666600000000003,0.31620636785880724,0.2396944792058498,3,3,3,3,6,0.555900847064657,False,2,rank
2,8,Drew Lachey,28.9998,0.34387291318097685,0.4367518169107908,1,1,1,1,2,0.7806247300917677,False,1,rank
3,1,Harry Hamlin,17.0,0.08018867924528301,0.0801858837809306,8,8,8,8,16,0.1603745630262136,False,9,percent
3,1,Vivica A. Fox,22.0,0.10377358490566038,0.1037732881610833,3,3,3,3,6,0.2075468730667437,False,8,percent
3,1,Monique Coleman,19.0,0.08962264150943396,0.0896208455314563,6,6,6,6,12,0.17924348704089027,False,4,percent
3,1,Joey Lawrence,21.0,0.09905660377358491,0.0990558072822364,5,5,5,5,10,0.1981124110558213,False,3,percent
3,1,Mario Lopez,26.0,0.12264150943396226,0.1226432116612974,1,1,1,1,2,0.24528472109525967,False,2,percent
3,1,Emmitt Smith,24.0,0.11320754716981132,0.1132082499108439,2,2,2,2,4,0.22641579708065523,False,1,percent
3,1,Shanna Moakler,18.0,0.08490566037735849,0.0849033646582835,7,7,7,7,14,0.169809025035642,False,10,percent
3,1,Willa Ford,22.0,0.10377358490566038,0.1037732881610833,3,3,3,3,6,0.2075468730667437,False,7,percent
3,1,Sara Evans,15.0,0.07075471698113207,0.0707571070156954,10,10,10,10,20,0.1415118239968275,False,6,percent
3,1,Jerry Springer,16.0,0.07547169811320754,0.0754715091936373,9,9,9,9,18,0.15094320730684485,False,5,percent
3,1,Tucker Carlson,12.0,0.05660377358490566,0.0566074446434523,11,11,11,11,22,0.11321121822835796,True,11,percent
3,2,Harry Hamlin,21.0,0.09130434782608696,0.087099171384018,7,8,7,7,15,0.17840351921010494,False,9,percent
3,2,Vivica A. Fox,24.0,0.10434782608695652,0.1081163542042086,3,4,3,4,7,0.21246418029116512,False,8,percent
3,2,Monique Coleman,26.0,0.11304347826086956,0.10101366034558,2,6,4,3,8,0.21405713860644957,False,4,percent
3,2,Joey Lawrence,29.0,0.12608695652173912,0.1120291093541004,1,3,1,1,4,0.23811606587583953,False,3,percent
3,2,Mario Lopez,21.0,0.09130434782608696,0.1171034721720449,7,1,4,5,8,0.20840781999813185,False,2,percent
3,2,Emmitt Smith,24.0,0.10434782608695652,0.114783889543871,3,2,2,2,5,0.2191317156308275,False,1,percent
3,2,Shanna Moakler,22.0,0.09565217391304348,0.0785986630017037,6,10,8,10,16,0.1742508369147472,True,10,percent
3,2,Willa Ford,23.0,0.1,0.1066670496432394,5,5,6,6,10,0.2066670496432394,False,7,percent
3,2,Sara Evans,21.0,0.09130434782608696,0.0829464890886603,7,9,8,8,16,0.17425083691474724,False,6,percent
3,2,Jerry Springer,19.0,0.08260869565217391,0.0916421412625733,10,7,10,9,17,0.17425083691474721,False,5,percent
3,3,Harry Hamlin,22.0,0.10628019323671498,0.0968668153751746,4,9,7,8,13,0.20314700861188956,True,9,percent
3,3,Vivica A. Fox,27.0,0.13043478260869565,0.1217021065807811,1,1,1,1,2,0.25213688918947674,False,8,percent
3,3,Monique Coleman,27.0,0.13043478260869565,0.116563285142991,1,3,2,2,4,0.24699806775168665,False,4,percent
3,3,Joey Lawrence,22.0,0.10628019323671498,0.1164884587342647,4,4,4,4,8,0.22276865197097967,False,3,percent
3,3,Mario Lopez,22.0,0.10628019323671498,0.1201548230433209,4,2,3,3,6,0.22643501628003587,False,2,percent
3,3,Emmitt Smith,19.0,0.09178743961352658,0.1136504925373094,9,5,8,7,14,0.20543793215083597,False,1,percent
3,3,Willa Ford,22.0,0.10628019323671498,0.1126040383636099,4,6,5,6,10,0.21888423160032489,False,7,percent
3,3,Sara Evans,25.0,0.12077294685990338,0.1002722469729772,3,8,6,5,11,0.22104519383288057,False,6,percent
3,3,Jerry Springer,21.0,0.10144927536231885,0.1016977332495707,8,7,9,8,15,0.20314700861188956,False,5,percent
3,4,Vivica A. Fox,24.0,0.12121212121212122,0.1065758914824746,4,8,6,6,12,0.2277880126945958,True,8,percent
3,4,Monique Coleman,24.0,0.12121212121212122,0.1264515710469879,4,5,4,4,9,0.24766369225910911,False,4,percent
3,4,Joey Lawrence,27.0,0.13636363636363635,0.1314454453693727,3,2,2,3,5,0.26780908173300905,False,3,percent
3,4,Mario Lopez,29.0,0.14646464646464646,0.1375201307976641,1,1,1,1,2,0.28398477726231053,False,2,percent
3,4,Emmitt Smith,24.0,0.12121212121212122,0.1242936554306583,4,6,5,5,10,0.2455057766427795,False,1,percent
3,4,Willa Ford,28.0,0.1414141414141414,0.1302584926048626,2,3,2,2,5,0.271672634019004,False,7,percent
3,4,Sara Evans,20.0,0.10101010101010101,0.1267779116844948,8,4,6,6,12,0.2277880126945958,False,6,percent
3,4,Jerry Springer,22.0,0.1111111111111111,0.1166769015834847,7,7,8,6,14,0.2277880126945958,False,5,percent
3,5,Monique Coleman,27.0,0.14917127071823205,0.1440810129523075,1,5,2,2,6,0.29325228367053957,False,4,percent
3,5,Joey Lawrence,25.0,0.13812154696132597,0.144124164919959,5,4,6,4,9,0.282245711881285,False,3,percent
3,5,Mario Lopez,27.0,0.14917127071823205,0.1523402929046306,1,1,1,1,2,0.3015115636228627,False,2,percent
3,5,Emmitt Smith,27.0,0.14917127071823205,0.1424707917973213,1,6,3,3,7,0.29164206251555336,False,1,percent
3,5,Willa Ford,27.0,0.14917127071823205,0.127944855385021,1,7,4,5,8,0.2771161261032531,True,7,percent
3,5,Sara Evans,24.0,0.13259668508287292,0.1445194410203801,6,3,6,7,9,0.27711612610325304,False,6,percent
3,5,Jerry Springer,24.0,0.13259668508287292,0.1445194410203802,6,2,4,5,8,0.2771161261032531,False,5,percent
3,6,Monique Coleman,23.0,0.19491525423728814,0.1969982734930999,4,4,4,4,8,0.391913527730388,False,4,percent
3,6,Joey Lawrence,24.0,0.2033898305084746,0.1998626739231823,3,3,3,3,6,0.4032525044316569,False,3,percent
3,6,Mario Lopez,28.0,0.23728813559322035,0.2186908372710918,1,1,1,1,2,0.4559789728643121,False,2,percent
3,6,Emmitt Smith,25.0,0.211864406779661,0.2011724884792838,2,2,2,2,4,0.4130368952589448,False,1,percent
3,6,Jerry Springer,18.0,0.15254237288135594,0.1832757268333421,5,5,5,5,10,0.335818099714698,False,5,percent
3,7,Monique Coleman,27.0,0.2,0.1979988489960232,4,4,4,4,8,0.3979988489960232,False,4,percent
3,7,Joey Lawrence,28.5,0.2111111111111111,0.2036121529807675,1,3,2,3,4,0.41472326409187865,False,3,percent
3,7,Mario Lopez,28.0,0.2074074074074074,0.2149296939870398,3,1,2,1,4,0.4223371013944472,False,2,percent
3,7,Emmitt Smith,28.5,0.2111111111111111,0.2044853626900071,1,2,1,2,3,0.4155964738011182,False,1,percent
3,7,Jerry Springer,23.0,0.17037037037037037,0.1789739413461622,5,5,5,5,10,0.3493443117165326,True,5,percent
3,8,Monique Coleman,26.5,0.24311926605504589,0.2418066473754026,4,4,4,4,8,0.4849259134304485,True,4,percent
3,8,Joey Lawrence,27.0,0.24770642201834864,0.2479097446614414,2,3,3,3,5,0.49561616667979,False,3,percent
3,8,Mario Lopez,28.5,0.26146788990825687,0.2616795629671499,1,1,1,1,2,0.5231474528754068,False,2,percent
3,8,Emmitt Smith,27.0,0.24770642201834864,0.2486040449960062,2,2,2,2,4,0.49631046701435483,False,1,percent
3,9,Joey Lawrence,29.5,0.3333333333333333,0.3290939812266008,1,3,3,3,4,0.6624273145599341,False,3,percent
3,9,Mario Lopez,29.5,0.3333333333333333,0.341201550936583,1,1,1,1,2,0.6745348842699164,False,2,percent
3,9,Emmitt Smith,29.5,0.3333333333333333,0.3297044678368162,1,2,2,2,3,0.6630378011701494,False,1,percent
3,10,Mario Lopez,29.666600000000003,0.5,0.5057122173986296,1,1,1,1,2,1.0057122173986297,False,2,percent
3,10,Emmitt Smith,29.666600000000003,0.5,0.4942877826013704,1,2,2,2,3,0.9942877826013704,False,1,percent
4,1,John Ratzenberger,17.0,0.0825242718446602,0.0825242718446602,8,8,8,8,16,0.1650485436893204,False,6,percent
4,1,Ian Ziering,21.0,0.10194174757281553,0.1019417475728155,3,3,3,3,6,0.20388349514563103,False,4,percent
4,1,Clyde Drexler,16.0,0.07766990291262135,0.0776699029126213,9,9,9,9,18,0.15533980582524265,False,8,percent
4,1,Laila Ali,23.0,0.11165048543689321,0.1116504854368932,2,2,2,2,4,0.22330097087378642,False,3,percent
4,1,Apolo Anton Ohno,21.0,0.10194174757281553,0.1019417475728155,3,3,3,3,6,0.20388349514563103,False,1,percent
4,1,Shandi Finnessey,19.0,0.09223300970873786,0.0922330097087378,5,5,5,5,10,0.18446601941747565,False,10,percent
4,1,Paulina Porizkova,19.0,0.09223300970873786,0.0922330097087378,5,5,5,5,10,0.18446601941747565,False,11,percent
4,1,Heather Mills,18.0,0.08737864077669903,0.087378640776699,7,7,7,7,14,0.17475728155339804,False,7,percent
4,1,Billy Ray Cyrus,13.0,0.06310679611650485,0.0631067961165048,11,11,11,11,22,0.12621359223300965,False,5,percent
4,1,Joey Fatone,24.0,0.11650485436893204,0.116504854368932,1,1,1,1,2,0.23300970873786403,False,2,percent
4,1,Leeza Gibbons,15.0,0.07281553398058252,0.0728155339805825,10,10,10,10,20,0.14563106796116504,False,9,percent
4,2,John Ratzenberger,21.0,0.08571428571428572,0.0835875195320729,6,8,6,7,14,0.16930180524635863,False,6,percent
4,2,Ian Ziering,22.0,0.08979591836734693,0.0978931043831031,5,4,5,5,9,0.18768902275045002,False,4,percent
4,2,Clyde Drexler,18.0,0.07346938775510205,0.087154127167524,11,7,11,9,18,0.16062351492262605,False,8,percent
4,2,Laila Ali,27.0,0.11020408163265306,0.1111683444446918,1,1,1,1,2,0.22137242607734486,False,3,percent
4,2,Apolo Anton Ohno,26.0,0.10612244897959183,0.1033353230197162,2,3,2,2,5,0.20945777199930804,False,1,percent
4,2,Shandi Finnessey,20.0,0.08163265306122448,0.0886995405429757,10,6,8,6,16,0.17033219360420018,False,10,percent
4,2,Paulina Porizkova,21.0,0.08571428571428572,0.0749092292083403,6,10,8,10,16,0.160623514922626,True,11,percent
4,2,Heather Mills,24.0,0.09795918367346938,0.0909055019395004,3,5,4,4,8,0.18886468561296976,False,7,percent
4,2,Billy Ray Cyrus,21.0,0.08571428571428572,0.0749092292083403,6,10,8,10,16,0.160623514922626,False,5,percent
4,2,Joey Fatone,24.0,0.09795918367346938,0.1103229138687831,3,2,2,3,5,0.20828209754225246,False,2,percent
4,2,Leeza Gibbons,21.0,0.08571428571428572,0.0771151666849515,6,9,7,8,15,0.1628294523992372,False,9,percent
4,3,John Ratzenberger,20.0,0.09174311926605505,0.0908174537407468,9,8,10,7,17,0.18256057300680184,False,6,percent
4,3,Ian Ziering,24.0,0.11009174311926606,0.1072435720943632,1,4,2,2,5,0.21733531521362925,False,4,percent
4,3,Clyde Drexler,16.0,0.07339449541284404,0.103120600761562,10,5,7,10,15,0.17651509617440603,False,8,percent
4,3,Laila Ali,21.0,0.0963302752293578,0.1122239242307076,6,2,4,5,8,0.2085541994600654,False,3,percent
4,3,Apolo Anton Ohno,23.0,0.10550458715596331,0.1096367326773482,5,3,4,3,8,0.21514131983331153,False,1,percent
4,3,Shandi Finnessey,21.0,0.0963302752293578,0.0801848209450483,6,10,9,9,16,0.17651509617440608,True,10,percent
4,3,Heather Mills,24.0,0.11009174311926606,0.102207945339468,1,6,3,4,7,0.21229968845873406,False,7,percent
4,3,Billy Ray Cyrus,21.0,0.0963302752293578,0.086093258158806,6,9,7,8,15,0.1824235333881638,False,5,percent
4,3,Joey Fatone,24.0,0.11009174311926606,0.1162016305895458,1,1,1,1,2,0.22629337370881186,False,2,percent
4,3,Leeza Gibbons,24.0,0.11009174311926606,0.0922700614624038,1,7,4,6,8,0.20236180458166986,False,9,percent
4,4,John Ratzenberger,16.0,0.08421052631578947,0.0944189309190434,7,8,7,8,15,0.17862945723483287,False,6,percent
4,4,Ian Ziering,24.0,0.12631578947368421,0.1198341533967609,3,3,3,3,6,0.24614994287044512,False,4,percent
4,4,Clyde Drexler,15.0,0.07894736842105263,0.101057298825842,9,6,7,7,15,0.18000466724689462,False,8,percent
4,4,Laila Ali,21.0,0.11052631578947368,0.1181804536892996,5,4,4,5,9,0.22870676947877328,False,3,percent
4,4,Apolo Anton Ohno,26.0,0.1368421052631579,0.1250768968789182,2,2,2,2,4,0.2619190021420761,False,1,percent
4,4,Heather Mills,23.0,0.12105263157894737,0.1144305975215785,4,5,4,4,9,0.23548322910052588,False,7,percent
4,4,Billy Ray Cyrus,21.0,0.11052631578947368,0.0992398099310977,5,7,6,6,12,0.20976612572057138,False,5,percent
4,4,Joey Fatone,28.0,0.14736842105263157,0.1333429279184161,1,1,1,1,2,0.28071134897104766,False,2,percent
4,4,Leeza Gibbons,16.0,0.08421052631578947,0.0944189309190434,7,8,7,8,15,0.17862945723483287,True,9,percent
4,5,John Ratzenberger,18.0,0.10227272727272728,0.1035998201048031,6,7,6,6,13,0.20587254737753038,False,6,percent
4,5,Ian Ziering,24.0,0.13636363636363635,0.1336735225577256,4,4,4,4,8,0.27003715892136193,False,4,percent
4,5,Clyde Drexler,13.0,0.07386363636363637,0.0990171274643383,8,8,8,8,16,0.17288076382797468,True,8,percent
4,5,Laila Ali,28.0,0.1590909090909091,0.1400318667960662,2,3,2,2,5,0.2991227758869753,False,3,percent
4,5,Apolo Anton Ohno,30.0,0.17045454545454544,0.1488967386313205,1,1,1,1,2,0.31935128408586594,False,1,percent
4,5,Heather Mills,21.0,0.11931818181818182,0.1240137385052452,5,5,5,5,10,0.24333192032342704,False,7,percent
4,5,Billy Ray Cyrus,17.0,0.09659090909090909,0.1052548941029005,7,6,6,7,13,0.20184580319380957,False,5,percent
4,5,Joey Fatone,25.0,0.14204545454545456,0.1455122918376003,3,2,2,3,5,0.28755774638305487,False,2,percent
4,6,John Ratzenberger,19.0,0.11176470588235295,0.1350453644741547,7,5,5,5,12,0.24681007035650765,False,6,percent
4,6,Ian Ziering,24.0,0.1411764705882353,0.1459683636439657,4,4,4,4,8,0.287144834232201,False,4,percent
4,6,Laila Ali,28.0,0.16470588235294117,0.1585151927373515,1,3,2,2,4,0.3232210750902927,False,3,percent
4,6,Apolo Anton Ohno,28.0,0.16470588235294117,0.1650690651921642,1,1,1,1,2,0.3297749475451054,False,1,percent
4,6,Heather Mills,23.0,0.13529411764705881,0.1115159527094488,5,7,5,6,12,0.24681007035650762,True,7,percent
4,6,Billy Ray Cyrus,21.0,0.12352941176470589,0.1232806585918017,6,6,5,7,12,0.2468100703565076,False,5,percent
4,6,Joey Fatone,27.0,0.1588235294117647,0.1606054026511133,3,2,3,3,5,0.31942893206287803,False,2,percent
4,7,John Ratzenberger,22.5,0.14563106796116504,0.1303576071126069,5,6,5,5,11,0.27598867507377195,True,6,percent
4,7,Ian Ziering,27.0,0.17475728155339806,0.167778583260896,3,4,4,4,7,0.3425358648142941,False,4,percent
4,7,Laila Ali,29.5,0.19093851132686085,0.1825867360570358,1,2,2,2,3,0.37352524738389664,False,3,percent
4,7,Apolo Anton Ohno,27.0,0.17475728155339806,0.1821106369172948,3,3,3,3,6,0.3568679184706929,False,1,percent
4,7,Billy Ray Cyrus,19.0,0.12297734627831715,0.1530113287954548,6,5,5,5,11,0.27598867507377195,False,5,percent
4,7,Joey Fatone,29.5,0.19093851132686085,0.1841551078567116,1,1,1,1,2,0.3750936191835724,False,2,percent
4,8,Ian Ziering,23.5,0.18725099601593626,0.1910358307412472,4,4,4,4,8,0.37828682675718345,False,4,percent
4,8,Laila Ali,26.5,0.21115537848605578,0.2103558678330133,3,3,3,3,6,0.4215112463190691,False,3,percent
4,8,Apolo Anton Ohno,29.0,0.23107569721115537,0.2166309970878525,1,1,1,1,2,0.4477066942990079,False,1,percent
4,8,Billy Ray Cyrus,19.0,0.15139442231075698,0.1677630823976971,5,5,5,5,10,0.31915750470845405,True,5,percent
4,8,Joey Fatone,27.5,0.21912350597609562,0.2142142219401898,2,2,2,2,4,0.43333772791628544,False,2,percent
4,9,Ian Ziering,29.0,0.24472573839662448,0.2346052521322573,4,4,4,4,8,0.4793309905288818,True,4,percent
4,9,Laila Ali,30.0,0.25316455696202533,0.2528945835990654,1,3,2,2,4,0.5060591405610908,False,3,percent
4,9,Apolo Anton Ohno,29.5,0.2489451476793249,0.256514830887956,3,1,2,3,4,0.5054599785672809,False,1,percent
4,9,Joey Fatone,30.0,0.25316455696202533,0.2559853333807212,1,2,1,1,3,0.5091498903427465,False,2,percent
4,10,Laila Ali,28.333200000000005,0.3281854310465651,0.3296689168374648,3,3,3,3,6,0.65785434788403,False,3,percent
4,10,Apolo Anton Ohno,29.3332,0.33976850076853665,0.3366832125552271,1,1,1,1,2,0.6764517133237637,False,1,percent
4,10,Joey Fatone,28.6665,0.3320460681848982,0.3336478706073081,2,2,2,2,4,0.6656939387922063,False,2,percent
5,1,Cameron Mathison,21.0,0.08171206225680934,0.0817126384102984,5,5,5,5,10,0.16342470066710774,False,5,percent
5,1,Jane Seymour,24.0,0.0933852140077821,0.093385219703321,3,3,3,3,6,0.1867704337111031,False,6,percent
5,1,Sabrina Bryan,26.0,0.10116731517509728,0.1011675977568277,1,1,1,1,2,0.20233491293192496,False,7,percent
5,1,Jennie Garth,21.0,0.08171206225680934,0.0817121016827644,5,8,8,8,13,0.16342416393957374,False,4,percent
5,1,Floyd Mayweather Jr. ,18.0,0.07003891050583658,0.0700382759344871,11,11,11,11,22,0.1400771864403237,False,9,percent
5,1,Josie Maran,16.0,0.0622568093385214,0.0622560932911165,12,12,12,12,24,0.1245129026296379,True,12,percent
5,1,Albert Reed,21.0,0.08171206225680934,0.0817121016827643,5,9,9,9,14,0.16342416393957365,False,11,percent
5,1,Helio Castroneves,25.0,0.09727626459143969,0.0972764087295653,2,2,2,2,4,0.194552673321005,False,1,percent
5,1,Mel B,24.0,0.0933852140077821,0.0933852197032193,3,4,4,4,7,0.18677043371100138,False,2,percent
5,1,Wayne Newton,19.0,0.07392996108949416,0.0739301397400006,10,10,10,10,20,0.14786010082949474,False,10,percent
5,1,Marie Osmond,21.0,0.08171206225680934,0.0817121016828425,5,6,6,6,11,0.16342416393965184,False,3,percent
5,1,Mark Cuban,21.0,0.08171206225680934,0.0817121016827924,5,7,7,7,12,0.16342416393960174,False,8,percent
5,2,Cameron Mathison,21.0,0.08823529411764706,0.0875028411727356,5,8,7,7,13,0.17573813529038268,False,5,percent
