celebrity_name,ballroom_partner,season,placement,avg_judge_score,max_judge_score,weeks_survived,age,country,celeb_popularity,partner_popularity,is_us,region_group,age_squared,celeb_pop_log,partner_pop_log,avg_fan_vote_share,avg_cv
Sabrina Bryan,Mark Ballas,5,7,27.0,30.0,6,23,United States,10.66153846153846,10.66153846153846,1,US,529,2.4562961157467345,2.4562961157467345,0.12040166408720222,0.010316471536623267
Jennie Garth,Derek Hough,5,4,25.27777777777778,29.0,9,35,United States,13.261538461538462,13.261538461538462,1,US,1225,2.657566295670218,2.657566295670218,0.13825614692314056,0.010092532512558611
Floyd Mayweather Jr. ,Karina Smirnoff,5,9,20.75,23.0,4,30,United States,4.907692307692308,4.907692307692308,1,US,900,1.7762552826920899,1.7762552826920899,0.08218312589017818,0.0171265591187795
Josie Maran,Alec Mazo,5,12,16.0,16.0,1,29,United States,0.0,0.0,1,US,841,0.0,0.0,0.0622560932911165,0.0134639310142266
Albert Reed,Anna Trebunskaya,5,11,21.0,21.0,2,22,United States,1.8867924528301887,1.8867924528301887,1,US,484,1.0601460078403135,1.0601460078403135,0.07482135576457954,0.01888059922039155
Helio Castroneves,Julianne Hough,5,1,26.649990000000003,30.0,10,32,Brazil,14.6,14.6,0,Other,1024,2.747270914255491,2.747270914255491,0.16745324265676992,0.008035431642887909
Mel B,Maksim Chmerkoskiy,5,2,27.23332,30.0,10,32,England,0.0,0.0,0,English_Speaking,1024,0.0,0.0,0.1702642642795901,0.00861001886173383
Wayne Newton,Cheryl Burke,5,10,17.333333333333332,19.0,3,65,United States,5.490566037735849,5.490566037735849,1,US,4225,1.8703497438212766,1.8703497438212766,0.08626494065455441,0.021667834295820167
Marie Osmond,Jonathan Roberts,5,3,24.25,28.0,10,47,United States,0.0,0.0,1,US,2209,0.0,0.0,0.15657730846474407,0.01145679687193087
Mark Cuban,Kym Johnson,5,8,20.4,22.0,5,49,United States,6.723076923076923,6.723076923076923,1,US,2401,2.044212849796092,2.044212849796092,0.09148963437903315,0.01412638798019342
Cristian de la Fuente,Cheryl Burke,6,3,24.75,28.5,10,34,Chile,5.490566037735849,5.490566037735849,0,Other,1156,1.8703497438212766,1.8703497438212766,0.15782589087334556,0.016979512711016102
Steve Guttenberg,Anna Trebunskaya,6,10,18.333333333333332,21.0,3,49,United States,1.8867924528301887,1.8867924528301887,1,US,2401,1.0601460078403135,1.0601460078403135,0.0786917025077427,0.04671441232103587
Priscilla Presley,Louis van Amstel,6,8,22.8,26.0,5,62,United States,0.0,0.0,1,US,3844,0.0,0.0,0.10507459972484748,0.017886426365328438
Marlee Matlin,Fabian Sanchez,6,7,22.333333333333332,24.0,6,42,United States,2.953846153846154,2.953846153846154,1,US,1764,1.3746888149995826,1.3746888149995826,0.10591044960121619,0.013978422722138216
Shannon Elizabeth,Derek Hough,6,6,24.214285714285715,28.0,7,34,United States,13.261538461538462,13.261538461538462,1,US,1156,2.657566295670218,2.657566295670218,0.1150166909349379,0.012404932460168343
Marissa Jaret Winokur,Tony Dovolani,6,4,23.22222222222222,26.0,9,35,United States,1.8867924528301887,1.8867924528301887,1,US,1225,1.0601460078403135,1.0601460078403135,0.13199851210919505,0.01640023100387782
Jason Taylor,Edyta Sliwinska,6,2,26.15,29.0,10,33,United States,0.0,0.0,1,US,1089,0.0,0.0,0.1641111842427303,0.01117125846663651
Kristi Yamaguchi,Mark Ballas,6,1,28.2,30.0,10,36,United States,10.66153846153846,10.66153846153846,1,US,1296,2.4562961157467345,2.4562961157467345,0.1791988237692424,0.0142920946705653
Monica Seles,Jonathan Roberts,6,11,15.0,15.0,2,34,Yugoslavia,0.0,0.0,0,Other,1156,0.0,0.0,0.06290310541440534,0.0278127850045192
Penn Jillette,Kym Johnson,6,12,16.5,17.0,2,53,United States,6.723076923076923,6.723076923076923,1,US,2809,2.044212849796092,2.044212849796092,0.0610696673883922,0.03752497478112525
Adam Carolla,Julianne Hough,6,9,18.5,21.0,4,43,United States,14.6,14.6,1,US,1849,2.747270914255491,2.747270914255491,0.07382062764034941,0.028374264650278275
Mario,Karina Smirnoff,6,5,25.25,28.0,8,21,United States,4.907692307692308,4.907692307692308,1,US,441,1.7762552826920899,1.7762552826920899,0.13192483821221737,0.013236704819058713
Ted McGinley,Inna Brayer,7,12,18.5,18.5,1,50,United States,3.661538461538461,3.661538461538461,1,US,2500,1.539345535613732,1.539345535613732,0.0634887257811886,0.0245886683765122
Cloris Leachman,Corky Ballas,7,7,17.5,22.0,6,82,United States,13.246153846153844,13.246153846153844,1,US,6724,2.6564869647505422,2.6564869647505422,0.09746431261371831,0.021914230871319468
Susan Lucci,Tony Dovolani,7,6,21.928571428571427,24.0,7,61,United States,1.8867924528301887,1.8867924528301887,1,US,3721,1.0601460078403135,1.0601460078403135,0.11091853977570554,0.02063316715067221
Cody Linley,Julianne Hough,7,4,22.833333333333332,28.0,9,18,United States,14.6,14.6,1,US,324,2.747270914255491,2.747270914255491,0.1390112681070893,0.011789635338961156
Misty May-Treanor,Maksim Chmerkoskiy,7,10,21.0,21.0,2,31,United States,0.0,0.0,1,US,961,0.0,0.0,0.0887542022337743,0.017431862043708397
Maurice Greene,Cheryl Burke,7,5,22.4375,27.0,8,34,United States,5.490566037735849,5.490566037735849,1,US,1156,1.8703497438212766,1.8703497438212766,0.12367614759375098,0.012520603142792512
Warren Sapp,Kym Johnson,7,2,24.25,27.5,10,35,United States,6.723076923076923,6.723076923076923,1,US,1225,2.044212849796092,2.044212849796092,0.16444271335866956,0.01169258808765174
Jeffrey Ross,Edyta Sliwinska,7,13,12.0,12.0,1,43,United States,0.0,0.0,1,US,1849,0.0,0.0,0.0476109888032036,0.0410501049533894
Toni Braxton,Alec Mazo,7,8,22.3,23.0,5,40,United States,0.0,0.0,1,US,1600,0.0,0.0,0.10736025688002834,0.014887039809932459
Lance Bass,Lacey Schwimmer,7,3,24.35,28.5,10,29,United States,21.153846153846157,21.153846153846157,1,US,841,3.0980111226744094,3.0980111226744094,0.16336220396671708,0.00988908776014117
Kim Kardashian,Mark Ballas,7,11,17.75,18.5,2,27,United States,10.66153846153846,10.66153846153846,1,US,729,2.4562961157467345,2.4562961157467345,0.0735433665986069,0.0205428179974463
Rocco DiSpirito,Karina Smirnoff,7,9,17.875,20.0,4,41,United States,4.907692307692308,4.907692307692308,1,US,1681,1.7762552826920899,1.7762552826920899,0.08436272186087115,0.013643546024757976
Brooke Burke,Derek Hough,7,1,26.95,30.0,10,37,United States,13.261538461538462,13.261538461538462,1,US,1369,2.657566295670218,2.657566295670218,0.18102775548272898,0.012615317794894821
Gilles Marini,Cheryl Burke,8,2,27.681818181818183,30.0,11,33,France,5.490566037735849,5.490566037735849,0,Other,1089,1.8703497438212766,1.8703497438212766,0.16887282201098638,0.009667943357992727
Denise Richards,Maksim Chmerkoskiy,8,12,18.333333333333332,21.0,3,38,United States,0.0,0.0,1,US,1444,0.0,0.0,0.06783073143854806,0.028511072753169265
David Alan Grier,Kym Johnson,8,9,20.8,24.0,5,52,United States,6.723076923076923,6.723076923076923,1,US,2704,2.044212849796092,2.044212849796092,0.0813655632438245,0.02692224276142894
Lawrence Taylor,Edyta Sliwinska,8,7,19.714285714285715,22.0,7,50,United States,0.0,0.0,1,US,2500,0.0,0.0,0.0867222972551815,0.01568004663172993
Ty Murray,Chelsie Hightower,8,4,21.8,26.0,10,39,United States,12.194444444444445,12.194444444444445,1,US,1521,2.5797958655785314,2.5797958655785314,0.11925054916457759,0.01659044040679227
Shawn Johnson,Mark Ballas,8,1,26.454545454545453,30.0,11,17,United States,10.66153846153846,10.66153846153846,1,US,289,2.4562961157467345,2.4562961157467345,0.1609850018191182,0.0085568592184059
Steve Wozniak,Karina Smirnoff,8,10,13.0,17.0,4,58,United States,4.907692307692308,4.907692307692308,1,US,3364,1.7762552826920899,1.7762552826920899,0.06744784783129598,0.027511096329285348
Belinda Carlisle,Jonathan Roberts,8,13,17.5,18.0,2,50,United States,0.0,0.0,1,US,2500,0.0,0.0,0.0635988124150412,0.02596074660117295
Chuck Wicks,Julianne Hough,8,6,22.9375,27.0,8,29,United States,14.6,14.6,1,US,841,2.747270914255491,2.747270914255491,0.10672128236134815,0.014235626038350012
Lil' Kim,Derek Hough,8,5,25.555555555555557,28.0,9,34,United States,13.261538461538462,13.261538461538462,1,US,1156,2.657566295670218,2.657566295670218,0.1260428572511609,0.014511991911145057
Steve-O,Lacey Schwimmer,8,8,15.833333333333334,18.0,6,34,England,21.153846153846157,21.153846153846157,0,English_Speaking,1156,3.0980111226744094,3.0980111226744094,0.08413665266604599,0.03348689159083315
Holly Madison,Dmitry Chaplin,8,11,17.25,18.0,4,30,United States,5.319444444444445,5.319444444444445,1,US,900,1.8436312999348952,1.8436312999348952,0.07021097870174385,0.032450500702247524
Melissa Rycroft,Tony Dovolani,8,3,26.681818181818183,29.0,11,26,United States,1.8867924528301887,1.8867924528301887,1,US,676,1.0601460078403135,1.0601460078403135,0.16280668489020741,0.011360609607222018
Ashley Hamiliton,Edyta Sliwinska,9,16,18.9999,18.9999,1,34,United States,0.0,0.0,1,US,1156,0.0,0.0,0.0519598658686016,0.0651804648425849
Debi Mazar,Maksim Chmerkoskiy,9,12,20.0,22.0,3,45,United States,0.0,0.0,1,US,2025,0.0,0.0,0.05739360040327993,0.026961337724751098
Melissa Joan Hart,Mark Ballas,9,9,22.833316666666665,28.0,6,33,United States,10.66153846153846,10.66153846153846,1,US,1089,2.4562961157467345,2.4562961157467345,0.0789542249960756,0.01562787245665035
Mark Dacascos,Lacey Schwimmer,9,6,24.214257142857143,32.0,7,45,United States,21.153846153846157,21.153846153846157,1,US,2025,3.0980111226744094,3.0980111226744094,0.09458128435201775,0.014506319060290901
Chuck Liddell,Anna Trebunskaya,9,11,18.75,22.0,4,39,United States,1.8867924528301887,1.8867924528301887,1,US,1521,1.0601460078403135,1.0601460078403135,0.061970956434317825,0.01446973837461815
Natalie Coughlin,Alec Mazo,9,10,23.999959999999998,26.9998,5,27,United States,0.0,0.0,1,US,729,0.0,0.0,0.08144911244389458,0.01483626805824834
Louie Vito,Chelsie Hightower,9,8,21.333299999999998,26.9998,6,21,United States,12.194444444444445,12.194444444444445,1,US,441,2.5797958655785314,2.5797958655785314,0.07845850731832256,0.017361060111004734
Michael Irvin,Anna Demidova,9,7,19.357114285714285,23.5,7,43,United States,5.476923076923077,5.476923076923077,1,US,1849,1.8682455637867443,1.8682455637867443,0.08214795155233125,0.03061316153272056
Joanna Krupa,Derek Hough,9,4,27.055533333333333,35.9999,9,30,Poland,13.261538461538462,13.261538461538462,0,Other,900,2.657566295670218,2.657566295670218,0.13216608414702,0.011943319196491966
Kathy Ireland,Tony Dovolani,9,14,18.99995,19.9999,2,46,United States,1.8867924528301887,1.8867924528301887,1,US,2116,1.0601460078403135,1.0601460078403135,0.05336517531788195,0.03077796266568885
Tom DeLay,Cheryl Burke,9,13,17.666633333333333,19.9999,3,62,United States,5.490566037735849,5.490566037735849,1,US,3844,1.8703497438212766,1.8703497438212766,0.056888179937775805,0.0291027335804539
Macy Gray,Jonathan Roberts,9,15,18.9999,18.9999,1,42,United States,0.0,0.0,1,US,1764,0.0,0.0,0.0519598658666616,0.0512110130941229
Aaron Carter,Karina Smirnoff,9,5,25.8124625,32.9998,8,21,United States,4.907692307692308,4.907692307692308,1,US,441,1.7762552826920899,1.7762552826920899,0.11278989210336304,0.013529382108112638
Mya,Dmitry Chaplin,9,2,28.433299999999996,33.0,10,29,United States,5.319444444444445,5.319444444444445,1,US,841,1.8436312999348952,1.8436312999348952,0.1592097524664689,0.01032136880752826
Donny Osmond,Kym Johnson,9,1,26.46662,30.999899999999997,10,51,United States,6.723076923076923,6.723076923076923,1,US,2601,2.044212849796092,2.044212849796092,0.15119634650302777,0.012913582170319121
Kelly Osbourne,Louis van Amstel,9,3,24.472159999999995,30.9998,10,24,England,0.0,0.0,0,English_Speaking,576,0.0,0.0,0.14139192595871758,0.01308352363898881
Aiden Turner,Edyta Sliwinska,10,9,17.625,20.0,4,32,England,0.0,0.0,0,English_Speaking,1024,0.0,0.0,0.0809646729452351,0.021195516730138825
Shannen Doherty,Mark Ballas,10,11,19.0,20.0,2,38,United States,10.66153846153846,10.66153846153846,1,US,1444,2.4562961157467345,2.4562961157467345,0.07059944957412001,0.03268806051073665
Niecy Nash,Louis van Amstel,10,5,20.999975,25.9998,8,40,United States,0.0,0.0,1,US,1600,0.0,0.0,0.11886813086003897,0.01724697179886689
Buzz Aldrin,Ashly DelGrosso,10,10,13.0,14.0,3,80,United States,2.7777777777777777,2.7777777777777777,1,US,6400,1.329135947279942,1.329135947279942,0.08142724432287346,0.025078508221647432
Chad Ochocinco,Cheryl Burke,10,4,22.166655555555554,30.999899999999997,9,32,United States,5.490566037735849,5.490566037735849,1,US,1024,1.8703497438212766,1.8703497438212766,0.13022486325758637,0.013592463395062766
Evan Lysacek,Anna Trebunskaya,10,2,26.288869999999996,29.5,10,24,United States,1.8867924528301887,1.8867924528301887,1,US,576,1.0601460078403135,1.0601460078403135,0.17472864858561643,0.01212799585247204
Pamela Anderson,Damian Whitewood,10,6,23.428542857142855,29.9998,7,42,Canada,6.492307692307692,6.492307692307692,0,English_Speaking,1764,2.013876853186953,2.013876853186953,0.12094537560507537,0.01712334321118923
Nicole Scherzinger,Derek Hough,10,1,28.07776,35.9999,10,31,United States,13.261538461538462,13.261538461538462,1,US,961,2.657566295670218,2.657566295670218,0.18644593883713045,0.011607825565809079
Erin Andrews,Maksim Chmerkoskiy,10,3,24.94998,34.0,10,32,United States,0.0,0.0,1,US,1024,0.0,0.0,0.16380110301548453,0.01107314233693083
Kate Gosselin,Tony Dovolani,10,8,15.4,16.0,5,35,United States,1.8867924528301887,1.8867924528301887,1,US,1225,1.0601460078403135,1.0601460078403135,0.08414925577306027,0.02794697108095532
Jake Pavelka,Chelsie Hightower,10,7,21.333316666666665,24.999899999999997,6,32,United States,12.194444444444445,12.194444444444445,1,US,1024,2.5797958655785314,2.5797958655785314,0.1084285079034107,0.015029887437655933
David Hasselhoff,Kym Johnson,11,12,15.0,15.0,1,58,United States,6.723076923076923,6.723076923076923,1,US,3364,2.044212849796092,2.044212849796092,0.066080372143502,0.0272232117259412
Florence Henderson,Corky Ballas,11,8,19.1,21.0,5,76,United States,13.246153846153844,13.246153846153844,1,US,5776,2.6564869647505422,2.6564869647505422,0.09067059588325306,0.014086907383002101
Kyle Massey,Lacey Schwimmer,11,2,25.58331,33.5,10,19,United States,21.153846153846157,21.153846153846157,1,US,361,3.0980111226744094,3.0980111226744094,0.16157366523544892,0.010335322569498439
Jennifer Grey,Derek Hough,11,1,27.9,36.5,10,50,United States,13.261538461538462,13.261538461538462,1,US,2500,2.657566295670218,2.657566295670218,0.17587871592089663,0.00901435788275386
Rick Fox,Cheryl Burke,11,6,25.0,34.5,7,41,Canada,5.490566037735849,5.490566037735849,0,English_Speaking,1681,1.8703497438212766,1.8703497438212766,0.1204464542780411,0.014840632670782058
Kurt Warner,Anna Trebunskaya,11,5,23.1249875,35.0,8,39,United States,1.8867924528301887,1.8867924528301887,1,US,1521,1.0601460078403135,1.0601460078403135,0.12818985003598238,0.014794640871865663
Margaret Cho,Louis van Amstel,11,10,17.0,18.0,3,41,United States,0.0,0.0,1,US,1681,0.0,0.0,0.07357801203878643,0.0175519297359139
Michael Bolton,Chelsie Hightower,11,11,14.0,16.0,2,57,United States,12.194444444444445,12.194444444444445,1,US,3249,2.5797958655785314,2.5797958655785314,0.0694491534525167,0.0185797892556993
Brandy,Maksim Chmerkoskiy,11,4,27.6111,36.5,9,31,United States,0.0,0.0,1,US,961,0.0,0.0,0.1528439674325962,0.01127708226493581
The Situation,Karina Smirnoff,11,9,16.75,20.0,4,28,United States,4.907692307692308,4.907692307692308,1,US,784,1.7762552826920899,1.7762552826920899,0.07755979870736475,0.022448816037509672
Audrina Patridge,Tony Dovolani,11,7,24.333299999999998,31.9998,6,25,United States,1.8867924528301887,1.8867924528301887,1,US,625,1.0601460078403135,1.0601460078403135,0.1077709294966709,0.019648199082467
Bristol Palin,Mark Ballas,11,3,22.916639999999997,32.5,10,19,United States,10.66153846153846,10.66153846153846,1,US,361,2.4562961157467345,2.4562961157467345,0.1545306034918385,0.0139716452648793
Ralph Macchio,Karina Smirnoff,12,4,24.11111111111111,33.0,9,49,United States,4.907692307692308,4.907692307692308,1,US,2401,1.7762552826920899,1.7762552826920899,0.14792213981071076,0.01644899192235662
Chelsea Kane,Mark Ballas,12,3,26.76666,36.5,10,22,United States,10.66153846153846,10.66153846153846,1,US,484,2.4562961157467345,2.4562961157467345,0.17023402794680798,0.01115119702658139
Kirstie Alley,Maksim Chmerkoskiy,12,2,24.64999,30.0,10,60,United States,0.0,0.0,1,US,3600,0.0,0.0,0.16073783936399472,0.00996972565963411
Hines Ward,Kym Johnson,12,1,26.76666,33.0,10,35,South Korea,6.723076923076923,6.723076923076923,0,Other,1225,2.044212849796092,2.044212849796092,0.1702506328285422,0.00939705736464635
Sugar Ray Leonard,Anna Trebunskaya,12,9,18.75,21.0,4,54,United States,1.8867924528301887,1.8867924528301887,1,US,2916,1.0601460078403135,1.0601460078403135,0.0859864593107364,0.018151426386658974
Chris Jericho,Cheryl Burke,12,7,22.333333333333332,26.0,6,40,United States,5.490566037735849,5.490566037735849,1,US,1600,1.8703497438212766,1.8703497438212766,0.11042449925641602,0.012556056817423817
Petra Nemcova,Dmitry Chaplin,12,8,21.2,25.0,5,31,Czechoslovakia,5.319444444444445,5.319444444444445,0,Other,961,1.8436312999348952,1.8436312999348952,0.09988404566467006,0.01548709359827948
Mike Catherwood,Lacey Schwimmer,12,11,15.0,17.0,2,32,United States,21.153846153846157,21.153846153846157,1,US,1024,3.0980111226744094,3.0980111226744094,0.0654527453089791,0.0223441534597121
Romeo,Chelsie Hightower,12,5,24.375,30.0,8,21,United States,12.194444444444445,12.194444444444445,1,US,441,2.5797958655785314,2.5797958655785314,0.1272626891271344,0.0153937357705833
Wendy Williams,Tony Dovolani,12,10,15.333333333333334,17.0,3,46,United States,1.8867924528301887,1.8867924528301887,1,US,2116,1.0601460078403135,1.0601460078403135,0.0711159471397839,0.0248514231199209
Kendra Wilkinson,Louis van Amstel,12,6,22.214285714285715,30.5,7,25,United States,0.0,0.0,1,US,625,0.0,0.0,0.1126011191644249,0.01524426437091427
Elisabetta Canalis,Valentin Chmerkovskiy,13,11,18.0,21.0,2,33,Italy,0.0,0.0,0,Other,1089,0.0,0.0,0.0701029415759856,0.0305176388150777
David Arquette,Kym Johnson,13,6,22.071428571428573,25.0,7,40,United States,6.723076923076923,6.723076923076923,1,US,1600,2.044212849796092,2.044212849796092,0.11197538796036041,0.015534500993159644
Ricki Lake,Derek Hough,13,3,26.59998,33.4999,10,42,United States,13.261538461538462,13.261538461538462,1,US,1764,2.657566295670218,2.657566295670218,0.17252869036312685,0.00923395184862779
J.R. Martinez,Karina Smirnoff,13,1,26.31665,30.0,10,28,United States,4.907692307692308,4.907692307692308,1,US,784,1.7762552826920899,1.7762552826920899,0.17359187691901518,0.00971245376327068
Metta World Peace (Ron),Peta Murgatroyd,13,12,14.0,14.0,1,31,United States,2.7384615384615385,2.7384615384615385,1,US,961,1.3186741734449114,1.3186741734449114,0.0645156177106246,0.0272504859764883
Hope Solo,Maksim Chmerkoskiy,13,4,23.055533333333333,26.0,9,30,United States,0.0,0.0,1,US,900,0.0,0.0,0.13935005941456943,0.018327710019721534
Chynna Phillips,Tony Dovolani,13,9,22.5,26.0,4,43,United States,1.8867924528301887,1.8867924528301887,1,US,1849,1.0601460078403135,1.0601460078403135,0.10483207639591464,0.017464931679006326
Kristin Cavallari,Mark Ballas,13,10,21.666666666666668,24.0,3,24,United States,10.66153846153846,10.66153846153846,1,US,576,2.4562961157467345,2.4562961157467345,0.08795996282149926,0.020528477276107068
Carson Kressley,Anna Trebunskaya,13,8,19.4,23.0,5,41,United States,1.8867924528301887,1.8867924528301887,1,US,1681,1.0601460078403135,1.0601460078403135,0.09562119095561944,0.01736766139769676
Chaz Bono,Lacey Schwimmer,13,7,18.833333333333332,21.0,6,42,United States,21.153846153846157,21.153846153846157,1,US,1764,3.0980111226744094,3.0980111226744094,0.10532714499314709,0.02285796826885385
